bag_id,barcode,soak_id,n_readings,mon2,tof,Tch,temp_diag,T_channel,sig,sig_T,reading_offset_min,status,site,water_type,cbt,censored,t_utc,b_T,day,baseline,baseline_day,baseline_age_days,sig_TD,sample_group
B202605280952,50045,S031,1,534.0,31.0,25.882812,26.839905,sipm_temperature,5.8971538676367405,6.02363432563674,0.7167317666666667,paired,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,Source (untreated),0.0,False,2026-05-28 09:52:00+00:00,-0.0215,2026-05-28,5.8904838564454645,2026-05-27,1,0.1331504691912757,G202605280952
B202605280952,50065,S031,4,417.0,39.0,29.898895,29.898895,temperature (board),5.5093883366279774,5.722214579127978,-0.127525,paired,Fake.Kicukiro.Amazi Meza warehouse.Inindi House.Rainwater tank,Source (untreated),0.0,False,2026-05-28 09:52:00+00:00,-0.0215,2026-05-28,5.474759820957615,2026-05-27,1,0.24745475817036233,G202605280952
B202605290843,50045,S032,1,660.0,31.0,27.851562,29.186401,sipm_temperature,6.194405391104672,6.363213974104672,0.9722656166666667,paired,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,2026-05-29 08:43:00+00:00,-0.0215,2026-05-29,5.8904838564454645,2026-05-27,2,0.47273011765920714,G202605290843
B202605290843,50065,S032,4,383.0,39.0,33.931,33.931,temperature (board),5.3612921657094255,5.663150590365638,-0.39766666666666667,paired,Fake.Kicukiro.Amazi Meza warehouse.Nyirakanamba I.Water Stream,Source (untreated),100.0,True,2026-05-29 08:43:00+00:00,-0.0215,2026-05-29,5.474759820957615,2026-05-27,2,0.18839076940802268,G202605290843
B202605290854,50065,S033,4,632.0,49.0,33.516846,33.516846,temperature (board),6.135564891081739,6.426312239831739,-0.48180833333333334,paired,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,2026-05-29 08:54:00+00:00,-0.0215,2026-05-29,5.474759820957615,2026-05-27,2,0.9515524188741233,G202605290854
B202605290901,50045,S034,1,769.0,38.0,26.054688,27.24022,sipm_temperature,6.395261598115449,6.525437390115449,0.9660156166666667,paired,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,2026-05-29 09:01:00+00:00,-0.0215,2026-05-29,5.8904838564454645,2026-05-27,2,0.634953533669985,G202605290901
B202605290901,50065,S034,4,661.5,47.0,32.878614999999996,32.878614999999996,temperature (board),6.197461422143414,6.47438766829849,-0.4921083333333333,paired,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,2026-05-29 09:01:00+00:00,-0.0215,2026-05-29,5.474759820957615,2026-05-27,2,0.9996278473408751,G202605290901
B202605290928,50045,S035,1,657.0,40.0,26.40625,27.104263,sipm_temperature,6.18826412308259,6.32599849808259,-2.046614583333333,paired,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,2026-05-29 09:28:00+00:00,-0.0215,2026-05-29,5.8904838564454645,2026-05-27,2,0.43551464163712517,G202605290928
B202605290928,50065,S035,4,516.0,49.0,30.065094,30.065094,temperature (board),5.846434598489109,6.062834119489109,-0.45910000000000006,paired,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,2026-05-29 09:28:00+00:00,-0.0215,2026-05-29,5.474759820957615,2026-05-27,2,0.5880742985314935,G202605290928
B202605290936,50045,S036,1,634.0,38.0,26.226562,27.023697,sipm_temperature,6.139884552226255,6.273755635226255,1.9518229166666667,paired,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,2026-05-29 09:36:00+00:00,-0.0215,2026-05-29,5.8904838564454645,2026-05-27,2,0.38327177878079066,G202605290936
B202605290936,50065,S036,4,498.5,45.0,31.9923705,31.9923705,temperature (board),5.794535679574758,6.052371645324758,-0.4622,paired,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,Source (untreated),100.0,True,2026-05-29 09:36:00+00:00,-0.0215,2026-05-29,5.474759820957615,2026-05-27,2,0.5776118243671426,G202605290936
B202605290948,50045,S037,1,718.0,46.0,26.03125,27.018661,sipm_temperature,6.306275286948016,6.4359471619480155,1.9463541666666666,paired,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,2026-05-29 09:48:00+00:00,-0.0215,2026-05-29,5.8904838564454645,2026-05-27,2,0.5454633055025511,G202605290948
B202605290948,50065,S037,4,642.0,54.0,32.251709000000005,32.251709000000005,temperature (board),6.156978985585555,6.420390729085556,0.4853166666666667,paired,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),100.0,True,2026-05-29 09:48:00+00:00,-0.0215,2026-05-29,5.474759820957615,2026-05-27,2,0.9456309081279404,G202605290948
B202605301205,50045,S041,1,810.0,48.0,28.203125,29.103317,sipm_temperature,6.461468176353717,6.637835363853718,-0.5496093833333333,paired,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,Source (untreated),100.0,True,2026-05-30 13:05:00+00:00,-0.0215,2026-05-30,5.8904838564454645,2026-05-27,3,0.7473515074082533,G202605301205
