sample_local,site,water_type,cbt,past_detect,chlorine,enumerator,submitted,tz_sample,tz_survey,barcodes,cbt_recorded,batch,tz_survey_used,tz_imputed,t_utc,shift_min,censored,bag_id,soak_id,sample_group
2026-06-02 10:30:00,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,Treated,0.0,False,0.25,E1,2026-06-10 19:24:21,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),['50065'],0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-02 10:30:00+00:00,0,False,B202606021030,S059,G202606021028
2026-06-03 08:43:00,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,Treated,0.0,False,0.5,E1,2026-06-10 19:25:23,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 08:43:00+00:00,0,False,B202606030843,S062,G202606030843
2026-06-03 08:46:00,Turkana.Turkana West.Kakuma.Nakoyo.100m from the Tank.Public Stand Tap 2,Treated,0.0,False,0.5,E1,2026-06-10 19:26:32,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 08:46:00+00:00,0,False,B202606030846,S062,G202606030843
2026-06-03 09:11:00,Turkana.Turkana West.Kakuma.Nakoyo.500m East.Public Stand Tap 3,Treated,0.0,False,0.25,E1,2026-06-10 19:27:32,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 09:11:00+00:00,0,False,B202606030911,,G202606030911
2026-06-03 09:14:00,Turkana.Turkana West.Kakuma.Nakoyo.500m East.Public Stand Tap 3,Treated,0.0,False,0.25,E1,2026-06-10 19:28:23,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 09:14:00+00:00,0,False,B202606030914,,G202606030911
2026-06-03 09:31:00,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,Treated,0.0,False,0.2,E1,2026-06-10 19:29:25,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 09:31:00+00:00,0,False,B202606030931,S063,G202606030931
2026-06-03 09:33:00,Turkana.Turkana West. Kakuma.Nakoyo.Adjacent to 5m3 PVC tank.Public Tap Stand 4,Treated,0.0,False,0.2,E1,2026-06-10 19:30:11,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 09:33:00+00:00,0,False,B202606030933,S063,G202606030931
2026-06-03 09:58:00,Turkana.Turkana West.Kakuma.Nakoyo.Public Stand Tap 6,Treated,0.0,False,2,E1,2026-06-10 19:31:02,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-03 09:58:00+00:00,0,False,B202606030958,,G202606030958
2026-06-04 08:11:00,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1,Treated,0.0,False,0.3,E1,2026-06-10 19:33:13,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 08:11:00+00:00,0,False,B202606040811,S064,G202606040811
2026-06-04 08:27:00,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,Treated,0.0,False,0.1,E1,2026-06-10 19:34:45,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 08:27:00+00:00,0,False,B202606040827,S065,G202606040827
2026-06-04 08:13:00,Turkana.Turkana South. Lokichar. Kimabur.Kimabur school.Public Stand Tap 1,Treated,0.0,False,0.3,E1,2026-06-10 19:35:38,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 08:13:00+00:00,0,False,B202606040813,S064,G202606040811
2026-06-04 08:29:00,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,Treated,0.0,False,0.1,E1,2026-06-10 19:36:29,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 08:29:00+00:00,0,False,B202606040829,S065,G202606040827
2026-06-04 08:33:00,Turkana.Turkana South.Lokichar.Kimabur.Concrete fixed Public Stand Tap 3,Treated,0.0,False,0.1,E1,2026-06-10 19:37:12,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-04 08:33:00+00:00,0,False,B202606040833,S066,G202606040833
2026-06-09 06:54:00,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,Source (untreated),0.0,False,0,E1,2026-06-10 19:39:23,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-09 06:54:00+00:00,0,False,B202606090654,S070,G202606090654
2026-06-09 06:56:00,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,Source (untreated),0.0,False,0,E1,2026-06-10 19:40:18,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-09 06:56:00+00:00,0,False,B202606090656,S070,G202606090654
2026-06-09 06:59:00,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,Source (untreated),0.0,False,0,E1,2026-06-10 19:41:22,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-09 06:59:00+00:00,0,False,B202606090659,S070,G202606090654
2026-06-09 07:01:00,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,Source (untreated),0.0,False,0,E1,2026-06-10 19:42:23,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-09 07:01:00+00:00,0,False,B202606090701,S070,G202606090654
2026-06-09 07:04:00,Isiolo.Isiolo.Ngaremara.Kona (Ngalabilabia).KonaBorehole,Source (untreated),0.0,False,0,E1,2026-06-10 19:43:10,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",0.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-09 07:04:00+00:00,0,False,B202606090704,S070,G202606090654
2026-06-09 07:20:00,Isiolo.Isiolo.Ngaremara.Kona(Ngalabilabia).NearestToBorehole.KonaWaterKiosk,Treated,1.0,False,0,E1,2026-06-10 19:44:47,UTC+03:00 East Africa Time (Kenya),UTC+03:00 East Africa Time (Kenya),"['50053', '50065']",1.0,10,UTC+03:00 East Africa Time (Kenya),False,2026-06-09 07:20:00+00:00,0,False,B202606090720,S071,G202606090720
