Deployment,Enumerator > Username,Submitted On,Water Sampling Site > Name,Date and time of water sample ,Lume Barcode,Second Lume Barcode,Replicate 1: E Coli CFU / 100 ,Replicate 1: Total Coliform CF,In what timezone was the sampl,Type of Enumeration,Is the enumeration past detect,Type of Water,In what timezone was this surv,Chlorine residual concentratio
Lume 1.2 - 2026,E1,2026-06-04 06:42:56,,2026-06-01 08:42:00,50065,,3,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-04 06:43:55,,2026-06-01 08:44:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),
Lume 1.2 - 2026,E1,2026-06-06 08:16:14,,2026-06-02 10:35:00,50065,,100,,UTC+03:00 East Africa Time (Kenya),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-06 08:19:06,,2026-06-03 10:25:00,50053,,100,,UTC+03:00 East Africa Time (Kenya),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-06 08:20:23,,2026-06-04 08:45:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.2
Lume 1.2 - 2026,E1,2026-06-06 08:21:28,,2026-06-04 09:02:00,50065,50053,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.2
Lume 1.2 - 2026,E1,2026-06-06 08:23:21,,2026-06-04 09:54:00, 50065,50053,100,,UTC+03:00 East Africa Time (Kenya),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-06 08:24:16,,2026-06-04 09:56:00,50065,,100,,UTC+03:00 East Africa Time (Kenya),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-06 08:25:03,,2026-06-04 09:58:00,50065,,100,,UTC+03:00 East Africa Time (Kenya),CBT,Yes ( > 100 CFU/100 mL),Source (untreated),UTC+03:00 East Africa Time (Kenya),0
Lume 1.2 - 2026,E1,2026-06-10 19:13:56,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 07:48:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:15:43,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,2026-06-02 08:00:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),0.25
Lume 1.2 - 2026,E1,2026-06-10 19:17:16,Turkana.Loima.Turkwel.Lorgum.Aqutab inline chlorine unit,2026-06-02 08:18:00,50065,,0,,UTC+03:00 East Africa Time (Kenya),CBT,No ( < 100 CFU/100 mL),Treated,UTC+03:00 East Africa Time (Kenya),25
