record_id,sample_group,sensor,sample_time_local,sample_time_utc,site_name,water_type,country,cbt_mpn_per_100ml,cbt_censored,chlorine_residual_mg_l,sensor_mon2,sensor_tof_kcps,sensor_temperature_c,temperature_channel,F_corrected_fluorescence,B_log_tof_ratio,baseline_age_days,pred_log10_new_sensor_new_day,pred_log10_day_held_out
B202605301326,G202605301326,50065,2026-05-30 13:26:00,2026-05-30 14:26:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),Rwanda,100.0,True,,746.5,53.0,29.491058,temperature (board),1.183515623694026,0.3067302674224754,3,2.004321373782642,2.004321373782642
B202605301333,G202605301333,50045,2026-05-30 13:33:00,2026-05-30 14:33:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),Rwanda,100.0,True,,754.0,47.0,26.585938,sipm_temperature,0.6210147933827628,0.4828517717235845,3,2.004321373782642,2.004321373782642
B202605301333,G202605301333,50065,2026-05-30 13:33:00,2026-05-30 14:33:00+00:00,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,Source (untreated),Rwanda,100.0,True,,705.5,53.5,31.0306095,temperature (board),1.138621448263236,0.3161200077723144,3,2.004321373782642,2.004321373782642
B202606021035,G202606021035,50065,2026-06-02 10:35:00,2026-06-02 10:35:00+00:00,,Source (untreated),Kenya,100.0,True,0.0,506.0,48.0,41.719513,temperature (board),0.995366290480483,0.1823215567939546,0,2.004321373782642,1.6479981161566175
B202606040845,G202606040845,50053,2026-06-04 08:45:00,2026-06-04 08:45:00+00:00,,Treated,Kenya,0.0,False,0.2,788.0,32.0,34.75,sipm_temperature,-0.0032419396208451,0.0,0,0.1480411846418273,0.1385737852687602
B202606040845,G202606040845,50065,2026-06-04 08:45:00,2026-06-04 08:45:00+00:00,,Treated,Kenya,0.0,False,0.2,257.5,39.0,37.822113,temperature (board),-0.1591538446952283,0.0,0,-0.4797106841131259,-0.0275581695644552
B202606040902,G202606040902,50053,2026-06-04 09:02:00,2026-06-04 09:02:00+00:00,,Treated,Kenya,0.0,False,0.2,754.0,32.0,35.515625,sipm_temperature,-0.047982974360953,0.0,0,0.1102274574195009,0.0901681659343231
B202606040902,G202606040902,50065,2026-06-04 09:02:00,2026-06-04 09:02:00+00:00,,Treated,Kenya,0.0,False,0.2,253.0,39.0,38.859406,temperature (board),-0.1896339039650252,0.0,0,-0.6873055149896754,-0.059415329087938
B202606040954,G202606040954,50053,2026-06-04 09:54:00,2026-06-04 09:54:00+00:00,,Source (untreated),Kenya,100.0,True,0.0,398.0,343.0,34.09375,sipm_temperature,-1.0112522035032496,2.371994544366214,0,2.004321373782642,2.004321373782642
B202606040954,G202606040954,50065,2026-06-04 09:54:00,2026-06-04 09:54:00+00:00,,Source (untreated),Kenya,100.0,True,0.0,289.0,341.0,36.804962,temperature (board),0.1754375177701881,2.16832083115387,0,2.004321373782642,2.004321373782642
B202606040956,G202606040954,50065,2026-06-04 09:56:00,2026-06-04 09:56:00+00:00,,Source (untreated),Kenya,100.0,True,0.0,332.5,327.0,36.804962,temperature (board),0.4729521800708998,2.126398524767607,0,2.004321373782642,2.004321373782642
B202606040958,G202606040954,50065,2026-06-04 09:58:00,2026-06-04 09:58:00+00:00,,Source (untreated),Kenya,100.0,True,0.0,439.5,313.5,37.304718,temperature (board),1.0061129959259991,2.084237713943329,0,2.004321373782642,2.004321373782642
B202606020748,G202606020748,50065,2026-06-02 07:48:00,2026-06-02 07:48:00+00:00,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,Treated,Kenya,0.0,False,0.25,310.0,40.0,32.950348,temperature (board),-0.1024131507967043,0.0,0,-0.0456434044052946,0.0479984200515817
B202606020800,G202606020800,50065,2026-06-02 08:00:00,2026-06-02 08:00:00+00:00,Turkana.Loima.Turkwel.Lorgum.100m near church.Concrete fixed public stand Tap 2,Treated,Kenya,0.0,False,0.25,324.5,39.0,37.528793,temperature (board),0.1727263226419619,-0.0253178079842898,0,0.357468087121542,0.13336250116916
B202606020818,G202606020818,50065,2026-06-02 08:18:00,2026-06-02 08:18:00+00:00,Turkana.Loima.Turkwel.Lorgum.Aqutab inline chlorine unit,Treated,Kenya,0.0,False,25.0,262.5,44.0,36.103775,temperature (board),-0.4521894359352707,0.0953101798043249,0,-0.2988159117585608,0.25974812604043
B202606020843,G202606020843,50065,2026-06-02 08:43:00,2026-06-02 08:43:00+00:00,,Treated,Kenya,0.0,False,0.0,314.0,40.0,38.129272,temperature (board),0.1153029563969774,0.0,0,0.3722861338657002,0.2162004676996331
