observation_id,barcode,site_name,sample_date,water_type,cbt_ecoli_cfu,cbt_censored,sensor_mon2_raw,sensor_tof_raw,water_temp_c,mon2c_baseline_subtracted,mon2c_normalized,tof_normalized,predicted_log10_cfu_insample,predicted_log10_cfu_loocv,loocv_agreement,who_risk_true,who_risk_predicted
75,50065,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-29 09:28:00,Source (untreated),100,TRUE,497.0,45.000,32.28,497.00,193.00,6.000,2.0043,2.0043,TRUE,Very high,Very high
76,50045,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-29 09:28:00,Source (untreated),100,TRUE,634.0,38.000,27.02,634.00,150.00,9.000,2.0043,2.0043,TRUE,Very high,Very high
77,50065,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-29 09:36:00,Source (untreated),100,TRUE,496.0,45.000,32.27,496.00,192.00,6.000,2.0043,2.0043,TRUE,Very high,Very high
78,50045,Fake.Kicukiro.Amazi Meza warehouse.Kabeza.Stream Water,2026-05-29 09:36:00,Source (untreated),100,TRUE,634.0,38.000,27.02,634.00,150.00,9.000,2.0043,2.0043,TRUE,Very high,Very high
79,50065,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-29 09:48:00,Source (untreated),100,TRUE,496.0,45.000,32.27,496.00,192.00,6.000,2.0043,2.0043,TRUE,Very high,Very high
80,50045,Fake.Kicukiro.Amazi Meza warehouse.Sahara.Stream water,2026-05-29 09:48:00,Source (untreated),100,TRUE,718.0,46.000,27.02,718.00,234.00,17.000,2.0043,2.0043,TRUE,Very high,Very high
81,50065,Fake.Kicukiro.Amazi Meza warehouse.Rugando.Stream water,2026-05-29 10:20:00,Source (untreated),100,TRUE,379.0,38.000,30.98,379.00,75.00,-1.000,1.0496,1.0117,FALSE,Very high,Low
82,50045,Fake.Kicukiro.Amazi Meza warehouse.Rugando.Stream water,2026-05-29 10:20:00,Source (untreated),100,TRUE,545.0,32.000,26.32,545.00,61.00,3.000,1.1310,1.0881,TRUE,Very high,Intermediate
83,50065,Fake.Kicukiro.Amazi Meza warehouse.Rugando.Stream water,2026-05-29 10:27:00,Source (untreated),100,TRUE,379.0,38.000,30.98,379.00,75.00,-1.000,1.0496,1.0117,FALSE,Very high,Low
84,50045,Fake.Kicukiro.Amazi Meza warehouse.Rugando.Stream water,2026-05-29 10:27:00,Source (untreated),100,TRUE,545.0,32.000,26.32,545.00,61.00,3.000,1.1310,1.0881,TRUE,Very high,Intermediate
85,50065,Fake.Kicukiro.Amazi Meza wahehouse.Nyirakanamba II. Water pipe,2026-05-30 12:05:00,Source (untreated),100,TRUE,722.0,52.000,33.53,722.00,418.00,13.000,2.0043,2.0043,TRUE,Very high,Very high
